date,sample_number,depth,temperature,discrete_sal,ph,discrete_ta,source,comments,season
4/20/22,220420-RU96,17.4,7.5716,32.5233,7.837860222,2219.989515,ru,,spring
4/20/22,220420-RU97,11.24,8.0728,30.4082,7.860778251,2145.814806,ru,,spring
4/20/22,220420-RU98,0,8.76,29.4504,7.813107456,2125.121916,ru,,spring
4/20/22,220420-RU99,0,8.76,29.4504,7.866614102,2130.740746,ru,,spring
5/18/22,220518-RU100,0,12.762,30.69,7.833140466,2163.752913,ru,,spring
5/18/22,220518-RU101,0,12.762,30.69,7.878482576,2157.262813,ru,,spring
9/6/22,220906-RU102,14.533,23.9412,32.1441,7.940620538,2169.365907,ru,,fall
9/6/22,220906-RU103,12.094,24.293,32.0552,7.971858281,2166.9697,ru,,fall
9/6/22,220906-RU104,9.287,24.3656,32.0165,7.975605894,2160.529894,ru,,fall
9/6/22,220906-RU105,5.878,24.3667,32.0195,7.980155505,2205.601897,ru,,fall
9/6/22,220906-RU106,2.768,24.3657,32.0198,7.982595972,2193.894419,ru,,fall
9/6/22,220906-RU107,0.709,24.364,32.0126,7.968894693,2171.556714,ru,,fall
9/6/22,220906-RU108,14.966,23.6435,32.2246,7.926585569,2175.911101,ru,,fall
9/6/22,220906-RU109,11.561,24.3062,32.0617,7.9775801,2173.737096,ru,,fall
9/6/22,220906-RU110,8.439,24.3457,32.0205,7.974299002,2172.934387,ru,,fall
9/6/22,220906-RU111,5.595,34.3488,32.0178,7.969671385,2174.855254,ru,,fall
9/6/22,220906-RU112,2.475,24.3286,32.0186,7.976366936,2160.333333,ru,,fall
9/6/22,220906-RU113,0.928,24.3496,32.0179,7.982632644,2173.870881,ru,,fall
10/11/22,221011-RU114,19.3,17.8199,32.9114,7.879621835,2205.133333,ru,,fall
10/11/22,221011-RU115,5.462,17.5284,32.6863,7.879536229,2195.75,ru,,fall
10/11/22,221011-RU116,1.824,17.3048,32.3778,7.913268136,2210.541516,ru,,fall
11/7/22,221107-RU120,2,17.1581,31.806,7.891937991,2158.25,ru,,fall
11/7/22,221107-RU121,2,17.1581,31.806,7.875254981,2164.109411,ru,,fall
4/20/23,RMI-RU-002,1.605,11.1282,30.5841,8.072292026,2137.359046,ru,,spring
4/20/23,RMI-RU-004,9.149,8.8978,31.5408,7.954733848,2158.548583,ru,,spring
4/20/23,RMI-RU-006,15.19,7.3263,32.3837,7.770826167,2184.481966,ru,,spring
4/20/23,RMI-RU-008,1.333,11.1769,30.5044,8.068768595,2135.758154,ru,,spring
4/20/23,RMI-RU-010,9.106,8.3547,31.9534,7.977443984,2150.047145,ru,,spring
4/20/23,RMI-RU-012,15.318,7.3334,32.3729,7.770339421,2183.328012,ru,,spring
5/12/23,RMI-RU-014,1.653,15.1014,30.5827,7.82515461,2110.333814,ru,,spring
5/12/23,RMI-RU-016,11.619,11.9223,31.294,7.760743486,2141.357419,ru,,spring
5/12/23,RMI-RU-018,16.567,9.7244,32.1458,7.684544078,2164.712951,ru,,spring
5/12/23,RMI-RU-020,1.675,15.1122,30.7839,7.814803796,2110.718359,ru,,spring
5/12/23,RMI-RU-022,11.534,10.9787,31.9231,7.829710304,2113.095009,ru,,spring
5/12/23,RMI-RU-024,16.434,9.7076,32.1653,7.681322038,2166.715525,ru,,spring
8/17/23,RMI-RU-026,1.648,23.4105,29.4366,8.078186794,2065.257677,ru,,summer
8/17/23,RMI-RU-028,19.589,14.678,31.8517,7.592317924,2158.47975,ru,,summer
8/17/23,RMI-RU-030,9.586,20.4928,30.9284,7.926450975,2107.652323,ru,,summer
8/17/23,RMI-RU-032,1.707,23.4098,29.4801,8.085047028,2069.34386,ru,,summer
8/17/23,RMI-RU-034,9.037,20.3967,30.9999,7.952196505,2099.843822,ru,,summer
8/17/23,RMI-RU-036,19.092,14.667,31.8675,7.588454248,2156.18772,ru,,summer
9/20/23,RMI-RU-038,2,22.44859,30.78023,7.898573746,2100.640362,ru,,fall
9/20/23,RMI-RU-040,2,22.44859,30.78023,7.886113888,2103.103331,ru,,fall
9/20/23,RMI-RU-042,13,22.37522,30.81389,7.887868893,2099.169688,ru,,fall
9/20/23,RMI-RU-044,13,22.37522,30.81389,7.883990122,2100.177929,ru,,fall
9/20/23,RMI-RU-046,22.787,12.0825,32.42,7.437826241,2184.827395,ru,,fall
9/20/23,RMI-RU-048,19.679,19.0056,31.6825,7.658029353,2166.821226,ru,,fall
9/20/23,RMI-RU-050,1.653,20.6439,30.8369,7.97869257,2094.848007,ru,,fall
9/20/23,RMI-RU-052,22.744,12.1231,32.4131,7.39114444,2193.796034,ru,,fall
9/20/23,RMI-RU-054,19.53,19.5234,31.5988,7.762753652,2142.133382,ru,,fall
9/20/23,RMI-RU-056,1.632,20.7116,30.9066,7.982098609,2098.359223,ru,,fall
10/18/23,RMI-RU-046B,2,17.0352,30.73056,8.016804145,2116.02971,ru,,fall
10/18/23,RMI-RU-048B,2,17.0352,30.73056,8.018409175,2110.834337,ru,,fall
10/18/23,RMI-RU-050B,26,17.33677,31.12069,7.895994902,2146.019497,ru,,fall
10/18/23,RMI-RU-052B,26,17.33677,31.12069,7.899597511,2146.174229,ru,,fall
10/19/23,RMI-RU-054B,2,17.394,30.9003,7.958552842,2113.259474,ru,,fall
10/19/23,RMI-RU-056B,2,17.394,30.9003,7.955345961,2112.423298,ru,,fall
10/19/23,RMI-RU-058B,19,17.5492,31.2984,7.892531825,2119.990897,ru,,fall
10/19/23,RMI-RU-060B,19,17.5492,31.2984,7.886737253,2122.179336,ru,,fall
